node_id,temperature,humidity,pressure
2,25.293000000000003,40.343,101002.164
2,27.258000000000003,40.924,101000.156
2,25.947,40.444,101000.445
2,25.024,41.453,101001.719
2,25.128,40.183,101000.20300000001
2,26.915,40.027,101000.141
2,25.059,40.14,101000.04699999999
2,26.362,41.637,101002.148
2,25.070999999999998,40.146,101000.79699999999
2,25.057,40.301,101001.07
2,26.675,41.746,101000.406
2,27.485,40.118,101000.07800000001
2,26.122,40.996,101001.711
2,27.500999999999998,41.41,101000.031
2,25.237,41.673,101002.18800000001
2,27.169,42.495,101002.43
2,25.01,42.242,101001.633
2,25.017,40.029,101000.031
2,25.658,42.207,101001.555
2,26.421999999999997,42.24,101000.109
2,25.325,42.434,101001.68800000001
2,25.129,42.101000000000006,101000.95300000001
2,25.068,40.056,101001.109
2,25.969,40.055,101000.867
2,25.035999999999998,40.681,101002.039
2,26.374000000000002,40.162,101000.094
2,25.221999999999998,42.349,101000.43
2,25.331,40.225,101002.102
2,26.865,40.01,101001.016
2,25.070999999999998,40.007,101000.227
2,27.396,42.193000000000005,101000.805
2,27.505,42.103,101001.094
2,26.913,41.022,101002.45300000001
2,27.201,40.098,101000.04699999999
2,25.209,40.010999999999996,101001.469
2,26.403000000000002,42.504,101000.156
2,26.980999999999998,40.116,101000.883
2,26.381,40.275999999999996,101001.31199999999
2,25.006999999999998,40.023,101002.477
2,26.644000000000002,40.173,101000.07800000001
2,25.131999999999998,40.748000000000005,101002.5
2,25.386,40.023,101000.5
2,25.605,40.159,101000.891
2,25.02,40.008,101001.391
2,25.024,40.035,101000.141
2,25.028000000000002,40.347,101000.391
2,25.545,40.024,101001.617
2,25.135,41.668,101002.477
2,27.241999999999997,40.023,101000.008
2,26.912,42.022,101000.242
2,26.741999999999997,40.397,101002.508
2,27.361,40.007,101001.609
2,25.160999999999998,41.843999999999994,101001.29699999999
2,27.405,40.294000000000004,101000.008
2,25.048000000000002,40.083,101000.016
2,26.678,42.475,101000.06199999999
2,26.000999999999998,40.489000000000004,101000.289
2,25.054000000000002,40.032,101000.219
2,25.473000000000003,41.277,101001.625
2,26.951999999999998,40.173,101000.164
2,27.266,40.201,101000.352
2,27.149,41.599,101000.508
2,26.309,40.066,101001.961
2,25.259,40.029,101001.148
2,27.456999999999997,40.016,101000.906
2,25.019000000000002,42.131,101000.742
2,26.699,42.157,101001.508
2,26.443,40.014,101001.195
2,26.448,40.678000000000004,101001.07800000001
2,27.377,42.391999999999996,101002.42199999999
2,25.686,41.598,101000.055
2,25.439,40.048,101001.023
2,27.423000000000002,40.008,101000.984
2,25.092,40.123000000000005,101002.352
2,25.548000000000002,42.251999999999995,101001.898
2,27.504,40.148,101000.04699999999
2,25.14,40.486,101001.008
2,25.546,40.338,101000.266
2,26.166,42.007,101001.93800000001
2,26.761999999999997,40.684,101000.094
2,25.921999999999997,40.198,101000.06199999999
2,25.01,41.025,101002.461
2,25.014,41.298,101001.06199999999
2,27.439,40.006,101000.008
2,26.066999999999997,41.398999999999994,101002.391
2,25.979,41.276,101001.969
2,27.469,42.461999999999996,101000.094
2,25.284000000000002,41.32,101000.664
2,26.041,40.867,101002.445
2,25.281,40.281,101000.008
2,25.515,40.221,101000.141
2,25.011,42.453,101002.492
2,25.01,42.193000000000005,101000.008
2,25.037,40.162,101000.92199999999
2,26.182,40.742,101000.04699999999
