00:00.035	ID:24	[INFO: Main      ] Starting Contiki-NG-release/v4.6-161-g6efe6078e
00:00.035	ID:24	[INFO: Main      ] - Routing: RPL Lite
00:00.035	ID:24	[INFO: Main      ] - Net: sicslowpan
00:00.035	ID:24	[INFO: Main      ] - MAC: CSMA
00:00.035	ID:24	[INFO: Main      ] - 802.15.4 PANID: 0xabcd
00:00.035	ID:24	[INFO: Main      ] - 802.15.4 Default channel: 26
00:00.035	ID:24	[INFO: Main      ] Node ID: 24
00:00.035	ID:24	[INFO: Main      ] Link-layer address: 0018.0018.0018.0018
00:00.035	ID:24	[INFO: Main      ] Tentative link-local IPv6 address: fe80::218:18:18:18
00:00.073	ID:8	[INFO: Main      ] Starting Contiki-NG-release/v4.6-161-g6efe6078e
00:00.073	ID:8	[INFO: Main      ] - Routing: RPL Lite
00:00.073	ID:8	[INFO: Main      ] - Net: sicslowpan
00:00.073	ID:8	[INFO: Main      ] - MAC: CSMA
00:00.073	ID:8	[INFO: Main      ] - 802.15.4 PANID: 0xabcd
00:00.073	ID:8	[INFO: Main      ] - 802.15.4 Default channel: 26
00:00.073	ID:8	[INFO: Main      ] Node ID: 8
00:00.073	ID:8	[INFO: Main      ] Link-layer address: 0008.0008.0008.0008
00:00.073	ID:8	[INFO: Main      ] Tentative link-local IPv6 address: fe80::208:8:8:8
00:00.142	ID:28	[INFO: Main      ] Starting Contiki-NG-release/v4.6-161-g6efe6078e
00:00.142	ID:28	[INFO: Main      ] - Routing: RPL Lite
00:00.142	ID:28	[INFO: Main      ] - Net: sicslowpan
00:00.142	ID:28	[INFO: Main      ] - MAC: CSMA
00:00.142	ID:28	[INFO: Main      ] - 802.15.4 PANID: 0xabcd
00:00.142	ID:28	[INFO: Main      ] - 802.15.4 Default channel: 26
00:00.142	ID:28	[INFO: Main      ] Node ID: 28
00:00.142	ID:28	[INFO: Main      ] Link-layer address: 001c.001c.001c.001c
00:00.142	ID:28	[INFO: Main      ] Tentative link-local IPv6 address: fe80::21c:1c:1c:1c
00:00.190	ID:11	[INFO: Main      ] Starting Contiki-NG-release/v4.6-161-g6efe6078e
00:00.190	ID:11	[INFO: Main      ] - Routing: RPL Lite
00:00.190	ID:11	[INFO: Main      ] - Net: sicslowpan
00:00.190	ID:11	[INFO: Main      ] - MAC: CSMA
00:00.190	ID:11	[INFO: Main      ] - 802.15.4 PANID: 0xabcd
00:00.190	ID:11	[INFO: Main      ] - 802.15.4 Default channel: 26
00:00.190	ID:11	[INFO: Main      ] Node ID: 11
00:00.190	ID:11	[INFO: Main      ] Link-layer address: 000b.000b.000b.000b
00:00.190	ID:11	[INFO: Main      ] Tentative link-local IPv6 address: fe80::20b:b:b:b
00:00.203	ID:31	[INFO: Main      ] Starting Contiki-NG-release/v4.6-161-g6efe6078e
00:00.203	ID:31	[INFO: Main      ] - Routing: RPL Lite
00:00.203	ID:31	[INFO: Main      ] - Net: sicslowpan
00:00.203	ID:31	[INFO: Main      ] - MAC: CSMA
00:00.203	ID:31	[INFO: Main      ] - 802.15.4 PANID: 0xabcd
00:00.203	ID:31	[INFO: Main      ] - 802.15.4 Default channel: 26
00:00.203	ID:31	[INFO: Main      ] Node ID: 31
00:00.203	ID:31	[INFO: Main      ] Link-layer address: 001f.001f.001f.001f
00:00.203	ID:31	[INFO: Main      ] Tentative link-local IPv6 address: fe80::21f:1f:1f:1f
