ID,Latitude,Longitude,Day,Hour,Minute,Duration,RemainingTime,Resources,Coverage,Ligitimacy,OnPeakHours,GridNumber
1,49.605407168235395,6.1296417722533585,1,9,25,40,40,2.25,100,True,True,112
1,49.60599472403419,6.129612555290344,1,9,35,40,30,2.25,100,True,True,112
1,49.606164585722375,6.129567876254795,1,9,45,40,20,2.25,100,True,True,112
1,49.60670224980268,6.129501085297084,1,9,55,40,10,2.25,100,True,True,112
2,49.61389859423777,6.1278709660400645,2,18,22,50,50,0.4,100,True,False,142
2,49.614481466457484,6.127630398421644,2,18,32,50,40,0.4,100,True,False,142
2,49.61473138404892,6.127685960394126,2,18,42,50,30,0.4,100,True,False,142
2,49.6149505672168,6.127590818175509,2,18,52,50,20,0.4,100,True,False,142
2,49.61565330743328,6.127532697076775,2,19,2,50,10,0.4,100,True,False,142
3,49.647346326461154,6.104848981934883,1,18,13,40,40,0.75,100,True,False,230
3,49.64793512244379,6.105121872792613,1,18,23,40,30,0.75,100,True,False,230
3,49.648317866861674,6.105020043547386,1,18,33,40,20,0.75,100,True,False,230
3,49.64895996768697,6.105143025649681,1,18,43,40,10,0.75,100,True,False,230
4,49.63521571113889,6.142030755564346,2,9,35,50,50,0.4,100,True,True,189
4,49.63585386260943,6.141858345838708,2,9,45,50,40,0.4,100,True,True,204
4,49.63599780940794,6.141916011139673,2,9,55,50,30,0.4,100,True,True,204
4,49.636566371475034,6.141833123559292,2,10,5,50,20,0.4,100,True,True,204
4,49.63706016885216,6.141671080912042,2,10,15,50,10,0.4,100,True,True,204
5,49.63062592329256,6.161790625200005,2,9,29,20,20,1.0,100,True,True,191
5,49.63123102645538,6.161602267213214,2,9,39,20,10,1.0,100,True,True,191
6,49.6393903445722,6.096412652141733,1,18,41,50,50,1.2,100,True,False,199
6,49.63963494949291,6.0963840511420155,1,18,51,50,40,1.2,100,True,False,199
6,49.639967122221584,6.096537546337974,1,19,1,50,30,1.2,100,True,False,199
6,49.64007139645519,6.096499884901508,1,19,11,50,20,1.2,100,True,False,199
6,49.64023467326387,6.096521315780926,1,19,21,50,10,1.2,100,True,False,199
7,49.633634388247266,6.125533666571112,2,15,19,50,50,0.8,100,True,False,187
7,49.63405898839414,6.125625964976594,2,15,29,50,40,0.8,100,True,False,187
