/ID-Task/  -/Lat/  -/Long/ -/Day/  -/Hour/ -/Minute/   -/Duration/ -/Remaining time/ -/Resources/    -/Coverage/ -/Ligitimacy/ -/on peak hour/ -/grid_number
1	 1	 49.605407168235395	 6.1296417722533585	 1	 9	 25	 40	 40	 2.25	 100	 True	 True	 112
2	 1	 49.60599472403419	 6.129612555290344	 1	 9	 35	 40	 30	 2.25	 100	 True	 True	 112
3	 1	 49.606164585722375	 6.129567876254795	 1	 9	 45	 40	 20	 2.25	 100	 True	 True	 112
4	 1	 49.60670224980268	 6.129501085297084	 1	 9	 55	 40	 10	 2.25	 100	 True	 True	 112
5	 2	 49.61389859423777	 6.1278709660400645	 2	 18	 22	 50	 50	 0.4	 100	 True	 False	 142
6	 2	 49.614481466457484	 6.127630398421644	 2	 18	 32	 50	 40	 0.4	 100	 True	 False	 142
7	 2	 49.61473138404892	 6.127685960394126	 2	 18	 42	 50	 30	 0.4	 100	 True	 False	 142
8	 2	 49.6149505672168	 6.127590818175509	 2	 18	 52	 50	 20	 0.4	 100	 True	 False	 142
9	 2	 49.61565330743328	 6.127532697076775	 2	 19	 2	 50	 10	 0.4	 100	 True	 False	 142
10	 3	 49.647346326461154	 6.104848981934883	 1	 18	 13	 40	 40	 0.75	 100	 True	 False	 230
11	 3	 49.64793512244379	 6.105121872792613	 1	 18	 23	 40	 30	 0.75	 100	 True	 False	 230
12	 3	 49.648317866861674	 6.105020043547386	 1	 18	 33	 40	 20	 0.75	 100	 True	 False	 230
13	 3	 49.64895996768697	 6.105143025649681	 1	 18	 43	 40	 10	 0.75	 100	 True	 False	 230
14	 4	 49.63521571113889	 6.142030755564346	 2	 9	 35	 50	 50	 0.4	 100	 True	 True	 189
15	 4	 49.63585386260943	 6.141858345838708	 2	 9	 45	 50	 40	 0.4	 100	 True	 True	 204
16	 4	 49.63599780940794	 6.141916011139673	 2	 9	 55	 50	 30	 0.4	 100	 True	 True	 204
