Protocol,Src IP,Src Port,Dst IP,Dst Port,Init Ts,Last Ts,Ts,Duration,Mac Addr,Type
ICMPv6,fe80::212:7401:1:101,0,ff02::1a,0,48:29.3,48:29.3,1622140000000000.0,0,"{'00:12:74:01:00:01:01:01', '0x0000ffff'}",Normal
ICMPv6,fe80::212:7401:1:101,0,fe80::212:740b:b:b0b,0,48:31.3,48:31.4,1622140000000000.0,93736,"{'00:12:74:0b:00:0b:0b:0b', '00:12:74:01:00:01:01:01'}",Normal
ICMPv6,fe80::212:7401:1:101,0,fe80::212:7408:8:808,0,48:31.3,48:31.5,1622140000000000.0,179673,"{'00:12:74:08:00:08:08:08', '00:12:74:01:00:01:01:01'}",Normal
ICMPv6,fe80::212:7401:1:101,0,fe80::212:7403:3:303,0,48:31.3,48:31.5,1622140000000000.0,179673,"{'00:12:74:03:00:03:03:03', '00:12:74:01:00:01:01:01'}",Normal
ICMPv6,fe80::212:7401:1:101,0,fe80::212:7407:7:707,0,48:31.3,48:31.5,1622140000000000.0,179673,"{'00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,fe80::212:7401:1:101,0,fe80::212:7406:6:606,0,48:31.3,48:31.5,1622140000000000.0,179673,"{'00:12:74:06:00:06:06:06', '00:12:74:01:00:01:01:01'}",Normal
ICMPv6,fe80::212:7401:1:101,0,fe80::212:7409:9:909,0,48:31.3,48:31.5,1622140000000000.0,179680,"{'00:12:74:09:00:09:09:09', '00:12:74:01:00:01:01:01'}",Normal
ICMPv6,fe80::212:7401:1:101,0,fe80::212:7404:4:404,0,48:31.4,48:36.1,1622140000000000.0,4695327,"{'00:12:74:04:00:04:04:04', '00:12:74:01:00:01:01:01'}",Normal
WPAN,0,0,0,0,48:31.4,48:36.4,1622140000000000.0,4998530,set(),Normal
ICMPv6,fe80::212:7401:1:101,0,fe80::212:7405:5:505,0,48:31.4,48:35.4,1622140000000000.0,3968765,"{'00:12:74:01:00:01:01:01', '00:12:74:05:00:05:05:05'}",Normal
ICMPv6,fe80::212:7401:1:101,0,fe80::212:740a:a:a0a,0,48:31.6,48:31.8,1622140000000000.0,187500,"{'00:12:74:0a:00:0a:0a:0a', '00:12:74:01:00:01:01:01'}",Normal
ICMPv6,fe80::212:7401:1:101,0,fe80::212:740c:c:c0c,0,48:31.6,48:31.8,1622140000000000.0,187500,"{'00:12:74:0c:00:0c:0c:0c', '00:12:74:01:00:01:01:01'}",Normal
ICMPv6,fe80::212:7401:1:101,0,fe80::212:7402:2:202,0,48:31.8,48:36.0,1622140000000000.0,4242202,"{'00:12:74:02:00:02:02:02', '00:12:74:01:00:01:01:01'}",Normal
ICMPv6,::212:7401:1:101,0,::212:740a:a:a0a,0,48:34.6,48:34.7,1622140000000000.0,164063,"{'00:12:74:0a:00:0a:0a:0a', '00:12:74:01:00:01:01:01'}",Normal
ICMPv6,::212:7401:1:101,0,::212:740c:c:c0c,0,48:34.6,48:34.7,1622140000000000.0,164062,"{'00:12:74:0c:00:0c:0c:0c', '00:12:74:01:00:01:01:01'}",Normal
ICMPv6,::212:7401:1:101,0,::212:740b:b:b0b,0,48:35.2,48:35.2,1622140000000000.0,0,"{'00:12:74:0b:00:0b:0b:0b', '00:12:74:01:00:01:01:01'}",Normal
ICMPv6,::212:7401:1:101,0,::212:740b:b:b0b,0,48:35.2,48:35.2,1622140000000000.0,0,"{'00:12:74:0b:00:0b:0b:0b', '00:12:74:01:00:01:01:01'}",Normal
UDP,::212:7401:1:101,5,::212:7403:3:303,8765,48:36.3,48:41.3,1622140000000000.0,4921622,"{'00:12:74:03:00:03:03:03', '00:12:74:01:00:01:01:01'}",Malicious
WPAN,0,0,0,0,48:36.4,48:41.4,1622140000000000.0,4997642,set(),Normal
