Session Key,Protocol,Src IP,Src Port,Dst IP,Dst Port,Init Ts,Last Ts,Ts,Duration,Mac Addr,Label,Fwd IAT Min,Fwd IAT Max,Fwd IAT Sum,Fwd IAT Ave,Fwd IAT Std,Bwd IAT Min,Bwd IAT Max,Bwd IAT Sum,Bwd IAT Ave,Bwd IAT Std,Flow IAT Min,Flow IAT Max,Flow IAT Ave,Flow IAT Std,Fwd Flag Ack Num,Bwd Flag Ack Num,F/Bwd Flag Ack Ratio,Fwd Flag Ack Speed,Bwd Flag Ack Speed,Fwd Flag Cwr Num,Bwd Flag Cwr Num,F/Bwd Flag Cwr Ratio,Fwd Flag Cwr Speed,Bwd Flag Cwr Speed,Fwd Flag Ecn Num,Bwd Flag Ecn Num,F/Bwd Flag Ecn Ratio,Fwd Flag Ecn Speed,Bwd Flag Ecn Speed,Fwd Flag Fin Num,Bwd Flag Fin Num,F/Bwd Flag Fin Ratio,Fwd Flag Fin Speed,Bwd Flag Fin Speed,Fwd Flag Ns Num,Bwd Flag Ns Num,F/Bwd Flag Ns Ratio,Fwd Flag Ns Speed,Bwd Flag Ns Speed,Fwd Flag Push Num,Bwd Flag Push Num,F/Bwd Flag Push Ratio,Fwd Flag Push Speed,Bwd Flag Push Speed,Fwd Flag Res Num,Bwd Flag Res Num,F/Bwd Flag Res Ratio,Fwd Flag Res Speed,Bwd Flag Res Speed,Fwd Flag Reset Num,Bwd Flag Reset Num,F/Bwd Flag Reset Ratio,Fwd Flag Reset Speed,Bwd Flag Reset Speed,Fwd Flag Syn Num,Bwd Flag Syn Num,F/Bwd Flag Syn Ratio,Fwd Flag Syn Speed,Bwd Flag Syn Speed,Fwd Flag Urg Num,Bwd Flag Urg Num,F/Bwd Flag Urg Ratio,Fwd Flag Urg Speed,Bwd Flag Urg Speed,Fwd Pkt Len Min,Fwd Pkt Len Max,Fwd Pkt Len Sum,Fwd Pkt Len Ave,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Max,Bwd Pkt Len Sum,Bwd Pkt Len Ave,Bwd Pkt Len Std,Flow Pkt Len Min,Flow Pkt Len Max,Flow Pkt Len Ave,Flow Pkt Len Std,Fwd Pkt Num,Bwd Pkt Num,F/Bwd Pkt Ratio,Fwd Pkt Speed,Bwd Pkt Speed,Fwd Byte Num,Bwd Byte Num,F/Bwd Byte Ratio,Fwd Byte Speed,Bwd Byte Speed,Type
ICMPv6 fe80::212:7401:1:101 0 ff02::1a 0 155 1,ICMPv6,fe80::212:7401:1:101,0,ff02::1a,0,30:47.7,30:47.7,1.62212E+15,0,"{'0x0000ffff', '00:12:74:01:00:01:01:01'}",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,97,97,0,0,0,0,0,0,97,97,97,0,1,0,0,0,0,97,0,0,0,0,Normal
ICMPv6 fe80::212:7401:1:101 0 fe80::212:7406:6:606 0 155 1,ICMPv6,fe80::212:7401:1:101,0,fe80::212:7406:6:606,0,30:49.7,30:49.9,1.62212E+15,234361,"{'00:12:74:06:00:06:06:06', '00:12:74:01:00:01:01:01'}",,0,0,0,0,0,0.007012844,0.101562977,0.234361172,0.033480167,0.033829583,0.007012844,0.101562977,0.033480167,0.033829583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,102,816,102,0,102,102,102,0,0,8,0,0,34.13537235,0,816,0,0,3481.80798,Normal
ICMPv6 fe80::212:7401:1:101 0 fe80::212:7403:3:303 0 155 1,ICMPv6,fe80::212:7401:1:101,0,fe80::212:7403:3:303,0,30:49.7,30:49.9,1.62212E+15,234360,"{'00:12:74:03:00:03:03:03', '00:12:74:01:00:01:01:01'}",,0,0,0,0,0,0.007014036,0.101561785,0.23435998,0.033479997,0.033828995,0.007014036,0.101561785,0.033479997,0.033828995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,102,816,102,0,102,102,102,0,0,8,0,0,34.13551801,0,816,0,0,3481.822837,Normal
ICMPv6 fe80::212:7401:1:101 0 fe80::212:740a:a:a0a 0 155 1,ICMPv6,fe80::212:7401:1:101,0,fe80::212:740a:a:a0a,0,30:49.7,30:49.9,1.62212E+15,179673,"{'00:12:74:0a:00:0a:0a:0a', '00:12:74:01:00:01:01:01'}",,0,0,0,0,0,0.007675171,0.046875,0.179672956,0.025667565,0.017931463,0.007675171,0.046875,0.025667565,0.017931463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,102,816,102,0,102,102,102,0,0,8,0,0,44.52533213,0,816,0,0,4541.583877,Normal
ICMPv6 fe80::212:7401:1:101 0 fe80::212:740b:b:b0b 0 155 1,ICMPv6,fe80::212:7401:1:101,0,fe80::212:740b:b:b0b,0,30:49.7,30:49.9,1.62212E+15,179673,"{'00:12:74:01:00:01:01:01', '00:12:74:0b:00:0b:0b:0b'}",,0,0,0,0,0,0.007013083,0.046875,0.179672956,0.025667565,0.018182098,0.007013083,0.046875,0.025667565,0.018182098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,102,816,102,0,102,102,102,0,0,8,0,0,44.52533213,0,816,0,0,4541.583877,Normal
ICMPv6 fe80::212:7401:1:101 0 fe80::212:7405:5:505 0 155 1,ICMPv6,fe80::212:7401:1:101,0,fe80::212:7405:5:505,0,30:49.7,30:49.9,1.62212E+15,179673,"{'00:12:74:01:00:01:01:01', '00:12:74:05:00:05:05:05'}",,0,0,0,0,0,0.007013083,0.046875,0.179672956,0.025667565,0.018182105,0.007013083,0.046875,0.025667565,0.018182105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,102,816,102,0,102,102,102,0,0,8,0,0,44.52533213,0,816,0,0,4541.583877,Normal
ICMPv6 fe80::212:7401:1:101 0 fe80::212:7404:4:404 0 155 1,ICMPv6,fe80::212:7401:1:101,0,fe80::212:7404:4:404,0,30:49.7,30:49.9,1.62212E+15,179673,"{'00:12:74:01:00:01:01:01', '00:12:74:04:00:04:04:04'}",,0,0,0,0,0,0.007012844,0.046875,0.179672956,0.025667565,0.018182189,0.007012844,0.046875,0.025667565,0.018182189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,102,816,102,0,102,102,102,0,0,8,0,0,44.52533213,0,816,0,0,4541.583877,Normal
ICMPv6 fe80::212:7401:1:101 0 fe80::212:7408:8:808 0 155 1,ICMPv6,fe80::212:7401:1:101,0,fe80::212:7408:8:808,0,30:49.8,30:49.9,1.62212E+15,93750,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08'}",,0,0,0,0,0,0.007013083,0.046875,0.09375,0.03125,0.021280671,0.007013083,0.046875,0.03125,0.021280671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,102,408,102,0,102,102,102,0,0,4,0,0,42.66666667,0,408,0,0,4352,Normal
ICMPv6 fe80::212:7401:1:101 0 fe80::212:7407:7:707 0 155 1,ICMPv6,fe80::212:7401:1:101,0,fe80::212:7407:7:707,0,30:49.8,30:51.7,1.62212E+15,1906265,"{'00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",,0,0,0,0,0,0.03125,1.82814002,1.90626502,0.635421673,1.032953932,0.03125,1.82814002,0.635421673,1.032953932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,102,408,102,0,102,102,102,0,0,4,0,0,2.098344144,0,408,0,0,214.0311027,Normal
WPAN 0 0 0 0 0x00000002,WPAN,0,0,0,0,30:49.9,30:53.7,1.62212E+15,3833361,set(),,0.014622927,1.990601063,3.83336091,0.958340228,1.092037696,0,0,0,0,0,0.014622927,1.990601063,0.958340228,1.092037696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,25,5,0,0,0,0,0,0,5,5,5,0,5,0,0,1.304338412,0,25,0,0,6.521692061,0,Normal
