/Task_ID/ /Day/ /Hour/ /Minute/ /Duration/ /Task_Value/
1	2	18	57	60	3	
2	2	9	42	70	1	
3	1	13	48	50	5	
4	1	9	4	60	9	
5	2	18	31	40	8	
6	2	9	25	70	9	
7	1	9	6	50	7	
8	2	9	54	70	4	
9	2	15	13	40	6	
10	1	18	21	60	7	
11	2	15	11	50	3	
12	1	9	39	30	9	
13	1	18	30	70	7	
14	1	9	40	40	9	
15	2	9	12	30	7	
16	2	9	49	20	7	
17	2	9	8	50	4	
18	2	13	19	70	3	
19	2	9	38	20	8	
20	2	18	10	60	3	
21	1	9	50	20	4	
22	2	15	41	30	8	
23	1	9	21	70	7	
24	1	9	5	100	7	
25	2	12	51	60	10	
26	1	13	2	10	2	
27	2	12	20	70	2	
28	1	9	4	60	9	
29	2	9	45	30	5	
30	1	18	53	30	2	
31	1	13	56	100	4	
32	1	9	4	60	5	
33	1	15	18	30	3	
34	1	18	53	30	8	
35	2	13	24	30	9	
36	2	9	35	50	3	
37	2	9	33	30	2	
38	2	9	51	20	8	
39	2	9	29	70	2	
40	2	12	45	50	8	
41	2	18	5	60	8	
42	2	14	35	10	4	
43	1	18	38	20	3	
44	2	12	43	20	3	
45	1	18	24	50	7	
46	1	9	44	70	2	
47	2	18	46	70	9	
48	1	9	16	40	7	
49	1	18	35	20	2	
50	2	9	4	100	6	
51	1	18	0	70	6	
52	1	18	49	70	8	
53	1	18	11	20	4	
54	1	9	26	30	4	
55	1	9	5	30	4	
56	1	9	45	80	9	
57	1	9	49	60	6	
58	2	12	52	20	7	
59	1	18	39	20	2	
60	1	18	58	20	10	
61	1	18	34	40	7	
62	1	15	14	60	3	
63	1	18	58	50	9	
64	1	13	52	40	8	
65	2	9	24	40	7	
66	2	18	3	60	2	
67	2	18	29	40	2	
68	1	18	5	60	2	
69	2	12	2	50	3	
70	2	9	35	60	5	
71	2	13	23	40	1	
72	2	18	45	60	4	
73	1	9	9	70	6	
74	1	15	1	70	6	
75	1	18	31	30	5	
76	1	18	46	10	1	
77	1	9	11	40	6	
78	1	9	49	30	10	
79	1	15	45	50	5	
80	1	14	19	100	6	
81	2	9	40	40	3	
82	1	18	31	20	1	
83	1	9	9	40	3	
84	1	18	43	50	4	
85	2	18	50	30	9	
86	2	9	7	70	1	
87	1	15	5	20	7	
88	1	9	15	30	5	
89	2	18	30	30	3	
90	1	18	37	30	3	
91	1	12	14	30	5	
92	2	13	31	10	8	
93	1	13	21	60	9	
94	2	9	58	40	10	
95	2	9	2	20	7	
96	1	18	15	70	7	
97	2	9	1	60	8	
